carat,depth,table,x,y,z,price
0.36,62.8,56.0,4.51,4.54,2.84,6.671
0.71,63.0,55.0,5.64,5.57,3.53,7.899
0.42,61.9,56.0,4.81,4.79,2.97,7.149
1.53,64.1,58.0,7.3,7.18,4.64,8.759
1.02,61.8,57.0,6.48,6.41,3.98,8.425
0.71,61.2,61.0,5.71,5.66,3.48,7.777
0.3,63.0,55.0,4.26,4.25,2.68,6.353
0.38,60.3,61.0,4.68,4.71,2.83,6.577999999999999
0.49,60.5,60.0,5.1,5.08,3.08,6.977
0.27,61.9,55.0,4.14,4.16,2.57,6.207000000000001
0.73,62.1,54.0,5.79,5.8,3.6,7.752000000000001
0.5,63.3,57.0,5.02,5.06,3.19,7.375
0.33,61.6,55.0,4.48,4.51,2.77,6.731
0.7,61.5,58.0,5.74,5.67,3.51,7.622000000000001
0.31,63.6,56.0,4.26,4.32,2.73,6.34
0.52,62.7,56.0,5.16,5.14,3.23,7.504
1.02,60.5,57.0,6.56,6.52,3.95,8.384
1.0,61.6,59.0,6.46,6.42,3.97,9.111
1.08,63.2,57.0,6.5,6.54,4.12,8.353
1.01,59.0,62.0,6.56,6.6,3.88,8.824
1.1,62.0,56.0,6.67,6.62,4.12,8.496
1.61,60.9,63.0,7.5,7.54,4.58,8.941
1.02,65.0,59.0,6.34,6.24,4.08,8.045
0.57,62.6,56.0,5.33,5.27,3.32,7.627000000000001
1.28,61.1,58.0,6.98,7.03,4.28,8.787
0.52,60.5,56.0,5.27,5.21,3.17,7.547999999999999
0.38,61.5,55.0,4.66,4.67,2.86,6.468999999999999
0.7,58.7,63.0,5.69,5.73,3.35,7.977
1.24,61.6,59.0,6.9,6.86,4.24,8.854
0.61,61.1,58.0,5.47,5.52,3.36,7.716
0.3,63.4,55.0,4.25,4.3,2.71,5.976
0.7,62.2,59.0,5.7,5.65,3.53,7.611000000000001
0.46,61.5,55.0,4.98,5.01,3.07,6.8870000000000005
0.9,62.1,60.0,6.11,6.19,3.82,8.363999999999999
1.04,59.9,64.0,6.51,6.45,3.88,7.996
0.3,63.4,56.0,4.27,4.31,2.72,6.671
0.7,62.1,54.6,5.68,5.72,3.54,7.7139999999999995
1.51,62.2,59.0,7.36,7.4,4.59,9.596
0.72,60.8,57.0,5.79,5.82,3.53,8.036
0.52,60.7,56.0,5.19,5.23,3.16,7.04
1.5,61.3,61.0,7.31,7.38,4.5,9.096
0.33,61.2,55.0,4.48,4.51,2.75,6.886
0.29,62.9,55.0,4.25,4.21,2.66,6.472
0.61,59.6,61.0,5.5,5.58,3.3,7.586
2.0,65.1,56.0,7.86,7.77,5.09,9.577
0.5,61.3,54.0,5.11,5.03,3.11,6.968999999999999
1.2,61.9,58.0,6.76,6.8,4.2,9.172
0.51,64.2,56.0,5.02,5.05,3.23,7.044
0.53,61.8,55.0,5.22,5.26,3.24,6.7379999999999995
0.9,62.1,61.0,6.07,6.11,3.78,8.145
0.54,61.6,56.0,5.21,5.24,3.22,7.119
0.7,61.5,66.0,5.55,5.6,3.43,7.6
1.01,58.3,62.0,6.49,6.43,3.77,7.895
0.3,58.4,62.0,4.37,4.43,2.57,6.461
1.5,66.3,60.0,7.09,7.02,4.68,9.218
1.23,59.2,62.0,7.05,7.0,4.16,8.892000000000001
0.93,61.9,57.0,6.25,6.31,3.89,8.147
1.0,63.5,59.0,6.34,6.29,4.01,8.459
0.5,61.0,59.0,5.09,5.14,3.12,7.393
0.51,61.6,58.0,5.12,5.14,3.16,7.358
2.35,62.3,58.0,8.51,8.44,5.28,9.701
1.14,58.9,59.0,6.84,6.78,4.01,8.741
1.0,63.1,59.0,6.32,6.27,3.97,8.334
0.51,63.8,56.0,5.08,5.04,3.23,7.178999999999999
0.39,62.2,55.0,4.67,4.7,2.91,6.854
0.79,63.4,57.0,5.86,5.9,3.73,7.882000000000001
2.07,59.6,60.0,8.3,8.24,4.93,9.314
0.78,61.1,56.0,5.94,5.98,3.64,7.98
1.4,61.6,59.0,7.22,7.17,4.43,8.952
0.9,62.6,58.0,6.01,6.06,3.78,8.238999999999999
0.44,62.5,60.0,4.82,4.87,3.03,6.831
0.34,62.1,54.0,4.48,4.5,2.79,6.881
1.1,59.6,59.0,6.74,6.72,4.01,8.222999999999999
1.02,58.8,57.0,6.61,6.55,3.87,8.052999999999999
0.71,61.4,56.0,5.75,5.78,3.54,7.57
0.73,60.9,61.0,5.81,5.79,3.53,8.105
0.4,63.2,58.0,4.61,4.7,2.94,6.485
0.26,62.1,60.0,4.03,4.12,2.53,6.317
0.34,61.9,57.0,4.48,4.44,2.76,6.903
0.38,61.9,54.1,4.64,4.71,2.89,6.555
0.74,63.2,56.0,5.74,5.72,3.62,8.11
1.55,59.2,59.0,7.51,7.59,4.47,9.279
0.55,62.0,56.0,5.26,5.25,3.26,7.402
0.77,63.1,57.0,5.83,5.86,3.69,8.157
0.7,65.5,57.0,5.46,5.54,3.6,7.885
0.39,60.0,56.0,4.79,4.77,2.87,6.992000000000001
0.23,62.5,58.0,3.94,3.96,2.47,6.273
0.41,61.3,60.0,4.75,4.81,2.93,6.577999999999999
0.72,61.8,54.0,5.76,5.8,3.57,7.53
0.3,61.6,58.0,4.3,4.34,2.66,6.7410000000000005
1.11,61.6,57.0,6.59,6.63,4.07,9.088
1.35,60.9,59.0,7.07,7.12,4.32,8.621
1.22,62.2,56.0,6.84,6.89,4.27,8.786
0.4,60.9,60.0,4.77,4.75,2.9,6.851
0.4,61.4,55.0,4.75,4.8,2.93,6.417000000000001
1.12,64.8,56.0,6.48,6.52,4.21,8.61
0.32,62.1,55.0,4.39,4.43,2.74,6.46
0.37,61.1,57.0,4.63,4.66,2.84,6.6979999999999995
0.41,58.6,60.0,4.83,4.87,2.84,7.066
2.01,62.1,56.0,8.06,8.13,5.03,9.458
1.29,61.6,57.0,6.98,7.01,4.32,8.753
0.71,59.8,53.0,5.86,5.82,3.49,7.9510000000000005
0.51,60.6,59.0,5.17,5.13,3.12,7.018
0.75,61.5,56.0,5.88,5.84,3.6,7.882999999999999
0.9,63.4,54.0,6.17,6.14,3.9,7.949
0.32,61.6,55.0,4.42,4.41,2.72,6.8020000000000005
0.34,62.4,54.0,4.49,4.52,2.81,6.117999999999999
0.35,62.4,58.0,4.47,4.54,2.81,6.223
0.52,61.6,55.0,5.2,5.15,3.19,7.56
1.21,61.9,58.0,6.84,6.79,4.22,9.341000000000001
0.9,62.4,54.0,6.22,6.19,3.87,8.368
0.77,62.1,56.0,5.85,5.88,3.64,8.044
1.23,62.0,55.0,6.85,6.92,4.27,9.461
0.32,62.1,55.0,4.39,4.43,2.74,6.553999999999999
1.11,61.8,59.0,6.65,6.58,4.09,8.066
0.32,60.6,57.0,4.4,4.44,2.68,6.107
1.09,61.3,58.0,6.64,6.6,4.06,9.217
1.2,62.1,57.0,6.77,6.82,4.22,8.971
0.3,62.6,53.0,4.29,4.33,2.7,6.849
0.72,61.8,59.0,5.71,5.74,3.54,7.983
0.7,63.4,59.0,5.66,5.57,3.56,7.482
0.32,62.3,55.3,4.36,4.37,2.72,6.023
0.77,60.8,59.0,5.92,5.86,3.58,7.957000000000001
0.26,62.6,56.0,4.1,4.13,2.57,6.186
0.95,63.8,57.0,6.13,6.23,3.94,7.992000000000001
1.0,60.9,57.0,6.43,6.47,3.93,8.246
0.79,62.2,57.0,5.89,5.94,3.68,7.992000000000001
1.5,65.0,57.0,7.1,7.06,4.6,8.83
1.01,62.8,57.0,6.35,6.39,4.0,8.596
0.52,63.3,57.0,5.11,5.08,3.22,7.199
1.59,61.2,58.0,7.58,7.49,4.61,9.773
1.01,62.2,58.0,6.4,6.37,3.97,8.187999999999999
1.2,60.3,57.0,6.98,6.84,4.17,8.904
0.36,61.8,56.0,4.56,4.6,2.83,6.747999999999999
0.61,60.9,56.0,5.49,5.51,3.35,7.816
0.38,61.3,57.0,4.68,4.62,2.85,6.97
0.3,62.4,55.0,4.32,4.3,2.69,6.672000000000001
0.37,61.2,60.0,4.58,4.63,2.82,6.475
1.01,59.3,56.0,6.51,6.45,3.84,7.895
0.32,62.1,55.0,4.43,4.4,2.74,6.644
1.56,61.9,55.0,7.44,7.46,4.61,9.149
0.5,61.6,57.0,5.08,5.14,3.15,7.519
0.3,62.1,55.0,4.3,4.27,2.66,6.921
0.34,61.1,60.0,4.48,4.45,2.73,6.8629999999999995
0.9,62.8,59.0,6.18,6.14,3.87,8.436
2.33,60.7,58.0,8.64,8.56,5.22,9.014
0.31,60.2,61.0,4.39,4.41,2.65,6.627000000000001
0.7,58.1,60.0,5.81,5.79,3.37,7.629
0.42,62.4,55.0,4.79,4.82,3.0,7.121
1.55,61.9,55.0,7.44,7.4,4.6,9.3
0.51,61.4,59.0,5.13,5.13,3.16,7.2589999999999995
1.56,62.0,55.0,7.41,7.45,4.61,9.747
0.82,63.6,58.9,5.88,5.93,3.76,7.857
0.3,63.4,57.0,4.27,4.31,2.72,6.042999999999999
1.11,64.2,58.0,6.53,6.47,4.17,8.435
0.33,61.7,56.0,4.47,4.45,2.75,7.016
2.01,59.4,63.0,8.18,8.26,4.88,9.589
0.74,61.8,56.0,5.84,5.88,3.62,8.165
0.34,63.2,58.0,4.41,4.45,2.8,6.653
0.32,61.1,57.0,4.44,4.47,2.72,6.468999999999999
0.37,60.5,56.0,4.65,4.68,2.82,6.696000000000001
0.51,61.5,56.0,5.15,5.16,3.17,7.266
1.54,63.3,60.0,7.34,7.31,4.64,8.914
0.3,61.8,56.0,4.3,4.34,2.67,6.494
0.53,62.2,56.0,5.18,5.21,3.23,7.849
1.25,61.0,60.0,6.93,6.98,4.24,8.507
0.54,59.6,60.0,5.28,5.25,3.14,7.122999999999999
1.12,62.2,60.0,6.59,6.65,4.12,8.568999999999999
0.5,60.9,61.0,5.11,5.13,3.12,7.516
0.31,62.2,59.0,4.35,4.3,2.69,6.547999999999999
1.01,57.1,58.0,6.6,6.64,3.78,8.408999999999999
0.3,62.0,55.0,4.33,4.35,2.69,6.638999999999999
0.9,63.2,59.0,6.1,6.05,3.84,8.208
1.05,63.3,56.0,6.48,6.41,4.08,8.633
1.02,62.6,59.0,6.41,6.46,4.03,8.936
0.4,60.4,59.0,4.8,4.83,2.91,6.501
0.71,62.8,61.0,5.63,5.71,3.56,7.507000000000001
1.0,61.5,58.0,6.38,6.41,3.93,8.356
0.37,61.3,56.0,4.65,4.68,2.86,6.905
0.7,61.7,57.0,5.65,5.69,3.5,7.59
0.81,62.1,57.0,5.91,5.95,3.68,7.952999999999999
0.7,61.9,58.0,5.74,5.69,3.54,7.409
0.74,59.9,59.0,5.93,5.95,3.56,7.877999999999999
0.73,62.2,59.0,5.74,5.77,3.58,8.07
0.23,58.5,61.0,4.06,3.98,2.35,6.019
0.33,61.3,58.0,4.42,4.46,2.72,6.501
0.4,60.9,60.0,4.75,4.77,2.9,6.603
0.37,61.2,54.0,4.62,4.7,2.85,6.2860000000000005
0.73,60.2,55.0,5.85,5.9,3.54,8.128
0.4,63.8,59.0,4.64,4.57,2.94,6.915
0.72,63.3,57.0,5.71,5.67,3.6,7.815
1.22,62.3,59.0,6.8,6.74,4.22,8.908999999999999
0.3,61.5,60.0,4.31,4.28,2.64,6.921
0.28,61.7,58.0,4.19,4.24,2.6,6.188
1.0,61.9,55.0,6.4,6.36,3.95,9.027999999999999
0.33,61.8,55.0,4.45,4.48,2.76,6.582999999999999
0.31,62.5,54.0,4.37,4.33,2.72,6.952999999999999
1.53,59.8,59.0,7.48,7.54,4.49,9.217
1.37,61.0,57.0,7.25,7.19,4.4,8.817
1.02,62.0,59.0,6.45,6.39,3.98,8.738
1.02,62.7,59.0,6.45,6.38,4.02,8.349
1.06,61.9,59.0,6.5,6.52,4.03,8.383
0.3,61.5,55.0,4.33,4.35,2.67,6.375
0.27,61.9,56.0,4.13,4.16,2.56,6.084
0.78,60.4,57.0,6.02,5.97,3.62,8.013
1.1,62.8,56.0,6.56,6.59,4.13,8.878
0.73,63.3,57.0,5.72,5.69,3.61,7.787000000000001
1.01,61.6,56.0,6.43,6.46,3.97,9.686
1.2,62.5,56.0,6.66,6.74,4.19,8.68
0.9,61.5,56.0,6.24,6.18,3.82,8.235
0.9,62.1,59.0,6.02,6.16,3.78,8.307
0.37,61.0,59.0,4.59,4.63,2.81,6.6979999999999995
0.3,62.9,59.0,4.24,4.28,2.68,6.068
1.47,61.6,60.0,7.38,7.33,4.53,9.026
0.31,60.4,57.0,4.4,4.37,2.65,6.848
0.58,62.9,58.0,5.3,5.32,3.34,7.144
0.71,61.0,56.0,5.76,5.81,3.53,8.253
2.75,60.5,61.0,8.99,8.97,5.48,9.642999999999999
0.34,61.7,61.0,4.48,4.44,2.75,6.353
1.14,60.1,60.0,6.79,6.83,4.09,9.326
0.33,61.5,56.0,4.45,4.48,2.74,6.55
0.5,61.2,56.0,5.13,5.16,3.15,7.22
0.85,62.0,55.0,6.08,6.14,3.78,8.365
1.52,59.9,60.0,7.46,7.49,4.48,9.137
0.95,62.9,59.0,6.24,6.13,3.89,8.451
0.3,61.6,58.0,4.33,4.31,2.66,6.7379999999999995
0.3,62.7,60.0,4.23,4.26,2.66,6.314
0.59,63.2,57.0,5.28,5.32,3.35,7.575
0.43,59.9,57.0,4.88,4.94,2.94,6.5089999999999995
1.03,62.6,57.0,6.42,6.46,4.03,8.588
0.71,64.5,55.6,5.58,5.61,3.6,7.733
1.52,62.1,58.0,7.36,7.43,4.59,9.46
0.31,59.3,59.0,4.42,4.48,2.64,6.2989999999999995
0.26,61.6,56.0,4.14,4.17,2.55,6.301
1.6,61.1,58.0,7.57,7.53,4.61,9.13
0.35,64.0,55.0,4.49,4.45,2.86,6.377000000000001
1.02,63.5,58.0,6.36,6.39,4.05,8.435
0.57,60.2,62.0,5.4,5.33,3.23,7.07
0.37,61.6,55.0,4.62,4.66,2.86,6.702999999999999
1.09,62.6,56.0,6.62,6.55,4.12,8.631
1.67,61.7,55.0,7.68,7.61,4.72,9.42
0.32,62.4,59.0,4.36,4.33,2.71,6.579
0.31,61.7,56.0,4.38,4.41,2.71,6.791
1.07,61.8,58.0,6.57,6.51,4.04,8.4
1.01,63.7,60.0,6.28,6.32,4.01,8.521
1.51,62.5,59.0,7.28,7.34,4.57,9.454
0.51,62.8,53.0,5.09,5.14,3.21,7.501
0.52,60.9,57.0,5.2,5.25,3.18,7.691
1.2,61.8,59.0,6.79,6.76,4.19,9.068
0.8,62.6,57.0,5.9,5.98,3.72,8.221
1.0,62.7,57.0,6.4,6.33,3.99,8.136000000000001
1.05,61.9,57.0,6.52,6.5,4.03,9.109
0.41,61.2,56.0,4.77,4.81,2.93,6.962000000000001
1.99,62.9,61.0,7.91,8.06,4.99,9.498
0.41,62.4,60.0,4.77,4.71,2.96,6.981
1.5,61.8,59.0,7.38,7.31,4.54,9.611
0.91,61.9,58.0,6.18,6.22,3.84,8.101
1.2,63.7,56.0,6.66,6.71,4.26,8.611
1.0,44.0,53.0,6.31,6.24,4.12,8.302
0.9,62.2,65.0,6.13,6.08,3.8,8.094
0.9,62.0,61.0,6.07,6.13,3.78,8.225
1.02,60.7,56.0,6.53,6.5,3.95,8.421
1.05,61.8,57.0,6.53,6.48,4.02,8.793
0.85,61.8,54.0,6.1,6.07,3.76,7.886
0.52,63.1,58.0,5.13,5.1,3.23,7.3629999999999995
0.6,63.3,58.0,5.34,5.31,3.37,7.244
0.7,63.0,56.0,5.61,5.69,3.56,7.992999999999999
0.42,61.4,55.0,4.9,4.8,2.98,6.98
0.31,60.5,60.0,4.36,4.34,2.63,6.771
0.32,62.0,54.0,4.37,4.41,2.72,6.553999999999999
0.71,61.3,56.0,5.75,5.77,3.53,8.104
0.5,59.8,58.0,5.12,5.14,3.07,7.546
0.9,58.7,60.0,6.28,6.35,3.71,8.219
1.01,60.8,56.0,6.48,6.51,3.95,8.619
0.33,61.7,56.0,4.48,4.46,2.76,6.957999999999999
0.4,62.9,58.0,4.67,4.71,2.95,6.89
0.32,61.8,58.0,4.35,4.39,2.7,6.6370000000000005
0.32,60.9,56.0,4.41,4.43,2.69,6.7010000000000005
0.9,65.9,59.0,6.0,5.95,3.94,8.072000000000001
0.27,61.8,56.0,4.15,4.17,2.57,6.525
0.34,59.6,61.0,4.5,4.53,2.69,6.439
0.6,60.0,58.0,5.53,5.43,3.29,7.801
1.21,63.1,60.0,6.74,6.69,4.24,8.677999999999999
1.53,62.2,58.0,7.35,7.37,4.58,8.952
0.39,61.4,57.0,4.72,4.66,2.88,6.615
0.3,62.0,53.0,4.31,4.33,2.68,6.402
1.26,61.0,59.0,6.97,6.91,4.23,8.697000000000001
1.62,61.8,59.0,7.48,7.44,4.61,8.548
0.51,61.0,57.0,5.17,5.16,3.15,7.655
1.05,61.8,58.0,6.52,6.55,4.04,8.435
1.01,62.9,59.0,6.29,6.37,3.98,8.31
0.55,61.7,56.0,5.3,5.26,3.25,7.449
2.01,61.9,57.0,8.09,8.06,5.0,9.559
0.5,63.0,57.0,5.04,5.09,3.19,6.982
2.2,61.7,55.0,8.41,8.38,5.18,9.767999999999999
1.21,61.7,56.0,6.87,6.82,4.22,8.716000000000001
2.01,60.3,59.0,8.14,8.21,4.93,9.624
0.31,61.8,54.0,4.33,4.37,2.69,6.8870000000000005
2.24,61.8,58.0,8.41,8.34,5.18,9.298
0.74,62.3,54.0,5.8,5.83,3.62,7.9239999999999995
0.71,61.4,56.0,5.73,5.79,3.53,7.705
0.86,62.6,56.0,6.01,6.07,3.78,7.995
0.44,61.5,58.0,4.87,4.95,3.02,6.831
0.9,60.8,58.0,6.2,6.29,3.8,8.296
0.57,59.5,56.0,5.45,5.47,3.25,7.51
0.79,61.3,54.0,6.01,5.96,3.67,8.093
1.15,62.5,59.0,6.62,6.69,4.16,8.718
0.32,61.6,56.0,4.41,4.39,2.71,6.579
0.24,63.0,59.0,3.96,4.01,2.51,5.935
1.0,62.1,56.0,6.34,6.41,3.96,8.15
0.7,63.2,55.0,5.63,5.57,3.54,7.585
1.0,60.0,60.0,6.43,6.43,3.89,8.795
1.5,64.0,56.0,7.18,7.05,4.56,8.3
0.71,60.7,57.0,5.76,5.8,3.51,8.141
0.9,65.4,57.0,6.04,5.95,3.92,8.054
0.4,61.4,57.0,4.68,4.74,2.89,6.501
1.23,63.1,56.0,6.91,6.79,4.32,8.675
0.57,62.2,56.0,5.3,5.33,3.3,7.694
0.35,62.8,58.0,4.44,4.48,2.8,6.682
1.02,62.1,57.0,6.44,6.37,3.98,8.766
0.7,65.8,59.0,5.58,5.48,3.64,7.775
0.39,62.1,55.0,4.7,4.74,2.93,6.896
0.76,62.3,57.0,5.87,5.84,3.65,8.331
0.41,62.9,59.0,4.7,4.75,2.97,6.718
1.21,59.4,60.0,6.9,6.97,4.12,8.677
0.28,62.5,53.0,4.18,4.21,2.62,6.257999999999999
1.23,63.1,56.0,6.81,6.78,4.29,8.805
0.23,63.8,57.0,3.93,3.84,2.48,6.103
1.01,64.1,60.0,6.3,6.27,4.03,8.499
0.55,62.5,56.0,5.21,5.25,3.27,7.382999999999999
0.51,60.1,56.0,5.35,5.16,3.16,7.655
1.24,61.7,57.0,6.91,6.86,4.25,8.718
0.28,62.4,55.0,4.17,4.2,2.61,6.471
1.09,61.4,56.0,6.62,6.68,4.08,9.361
0.31,61.6,54.0,4.36,4.4,2.7,6.749
0.52,59.4,61.0,5.23,5.24,3.11,7.439
0.33,62.4,55.0,4.4,4.42,2.75,6.582999999999999
0.52,63.0,56.0,5.18,5.11,3.24,6.768
0.54,62.2,56.0,5.19,5.23,3.24,7.401
0.23,59.4,57.0,4.06,4.09,2.42,5.996
1.07,59.7,61.0,6.69,6.64,3.98,8.988999999999999
0.58,61.1,57.0,5.39,5.41,3.3,7.541
1.59,60.6,59.0,7.53,7.59,4.58,9.67
0.54,61.5,56.0,5.24,5.23,3.22,7.401
0.7,57.8,61.0,5.83,5.79,3.36,7.92
0.42,59.8,58.0,4.9,4.86,2.92,6.9910000000000005
0.43,61.6,59.0,4.78,4.87,2.97,6.808
1.51,62.5,58.0,7.33,7.22,4.55,9.568
0.56,62.6,54.0,5.32,5.28,3.32,7.809
0.34,59.8,58.0,4.53,4.57,2.72,6.3389999999999995
0.4,61.7,56.0,4.72,4.77,2.93,6.646
0.3,63.8,56.0,4.28,4.2,2.71,6.428
0.5,61.9,56.0,5.09,5.14,3.16,7.062
0.51,62.9,57.0,5.07,5.1,3.2,7.242000000000001
1.04,62.4,57.0,6.48,6.53,4.06,8.618
0.31,61.6,59.0,4.32,4.35,2.67,6.522
2.0,60.4,61.0,8.21,8.12,4.93,9.749
1.13,59.4,58.0,6.8,6.74,4.02,8.396
1.07,62.2,57.0,6.55,6.5,4.06,8.706
0.4,61.3,56.0,4.75,4.78,2.92,7.483
0.66,61.7,55.0,5.64,5.6,3.47,7.542000000000001
0.54,60.7,57.0,5.29,5.26,3.2,7.729
0.76,64.6,61.0,5.72,5.8,3.72,8.103
0.31,62.2,54.0,4.36,4.39,2.72,6.337000000000001
0.3,61.7,58.0,4.27,4.32,2.65,6.159
2.04,61.7,57.0,8.1,8.13,5.01,9.33
1.35,61.4,57.0,7.1,7.13,4.37,8.676
1.46,62.8,52.0,7.31,7.27,4.58,8.597999999999999
1.01,63.2,62.0,6.29,6.33,3.99,8.249
1.16,62.5,58.0,6.72,6.68,4.19,8.511000000000001
0.82,63.4,55.0,5.96,5.93,3.77,7.711
1.21,62.1,55.0,6.87,6.82,4.25,8.647
2.02,61.5,60.0,8.15,8.05,4.98,9.602
0.5,61.0,57.0,5.13,5.15,3.13,7.027
0.3,62.2,59.0,4.28,4.31,2.67,6.528
0.31,60.4,56.0,4.43,4.38,2.66,7.122000000000001
1.28,60.4,61.0,7.08,7.03,4.26,8.82
1.0,57.4,58.0,6.61,6.57,3.78,8.726
0.74,61.6,57.0,5.77,5.83,3.57,7.675
1.08,61.8,56.0,6.62,6.69,4.11,8.712
0.31,62.9,57.0,4.35,4.3,2.72,6.771
0.32,61.2,58.0,4.39,4.43,2.7,6.547999999999999
0.24,61.1,60.0,4.01,4.07,2.47,6.17
3.01,61.7,58.0,9.25,9.2,5.69,9.683
1.2,62.6,58.0,6.74,6.81,4.24,8.633
0.35,62.3,55.0,4.53,4.56,2.83,6.56
0.35,60.8,57.0,4.56,4.52,2.76,6.809
1.32,62.2,57.0,7.07,7.01,4.38,8.769
0.42,60.6,58.0,4.88,4.83,2.94,6.9910000000000005
1.23,59.6,60.0,6.99,6.94,4.15,9.023
0.4,61.3,56.0,4.75,4.78,2.92,6.444
0.26,59.0,59.0,4.19,4.25,2.49,6.1160000000000005
1.1,60.5,56.0,6.76,6.7,4.07,9.129
0.4,62.9,58.0,4.72,4.69,2.96,6.782
0.57,61.7,56.0,5.31,5.35,3.29,7.382999999999999
0.92,62.3,55.0,6.24,6.28,3.9,8.431000000000001
0.43,63.0,56.0,4.86,4.83,3.05,6.875
1.07,61.1,57.0,6.66,6.6,4.05,8.371
0.36,62.5,56.0,4.55,4.57,2.85,6.497000000000001
0.71,61.9,57.0,5.73,5.77,3.56,7.9270000000000005
0.9,62.6,58.0,6.08,6.13,3.82,8.451
1.03,63.7,56.0,6.32,6.39,4.05,8.429
0.25,61.6,57.0,4.1,4.08,2.52,6.607
0.7,63.2,57.0,5.66,5.59,3.55,7.447
0.58,61.6,57.0,5.34,5.38,3.3,7.077000000000001
0.7,61.7,59.0,5.66,5.69,3.5,7.892
0.3,61.7,57.0,4.3,4.32,2.66,6.9479999999999995
0.26,58.9,61.0,4.19,4.16,2.46,6.585
1.51,63.0,58.0,7.33,7.27,4.6,9.382
0.31,61.8,58.0,4.32,4.36,2.68,6.561
0.71,62.5,60.0,5.7,5.66,3.55,7.914
1.07,62.2,58.0,6.52,6.57,4.07,8.538
1.35,61.5,58.0,7.08,7.11,4.36,8.937000000000001
0.51,61.9,56.0,5.09,5.14,3.16,7.649
0.9,60.7,63.0,6.07,6.13,3.7,8.336
0.55,58.1,62.0,5.38,5.46,3.15,7.371
1.21,60.3,58.0,6.9,6.96,4.18,8.6
0.76,61.2,57.0,5.85,5.9,3.59,8.075
0.73,60.3,60.0,5.82,5.89,3.53,7.772
0.33,62.0,56.0,4.45,4.48,2.77,6.766
0.3,62.4,54.0,4.32,4.34,2.7,6.23
0.42,61.6,57.0,4.79,4.82,2.96,6.811
0.53,59.6,58.0,5.28,5.32,3.16,7.781000000000001
0.52,59.2,58.0,5.23,5.31,3.12,7.584
0.34,61.5,55.0,4.58,4.49,2.79,6.928
1.51,59.5,61.0,7.45,7.62,4.48,8.919
0.31,63.3,55.0,4.35,4.31,2.74,6.547999999999999
1.29,61.2,60.0,7.03,6.95,4.28,8.875
0.4,61.3,56.0,4.76,4.73,2.91,6.957000000000001
1.21,62.6,61.0,6.7,6.75,4.21,8.58
1.01,62.0,58.0,6.36,6.39,3.95,8.936
1.02,62.8,58.0,6.37,6.43,4.02,8.503
1.8,62.2,57.0,7.81,7.89,4.88,9.757
1.03,60.5,61.0,6.43,6.47,3.9,8.578
0.3,62.2,57.0,4.35,4.3,2.69,7.013999999999999
0.38,60.5,60.0,4.68,4.64,2.82,6.5889999999999995
0.51,63.2,60.0,5.04,5.06,3.19,7.398
1.14,62.5,59.0,6.65,6.67,4.16,8.544
0.32,61.6,55.0,4.42,4.41,2.72,6.8420000000000005
1.23,61.0,56.0,6.96,6.92,4.23,8.77
0.76,61.5,57.0,5.85,5.89,3.61,7.893
0.7,61.1,57.0,5.7,5.75,3.5,8.195
0.72,61.1,60.0,5.72,5.76,3.51,7.903
1.59,62.4,56.0,7.48,7.46,4.66,9.221
1.01,62.2,56.0,6.42,6.45,4.0,8.474
0.71,62.9,55.0,5.72,5.76,3.61,7.859
1.09,60.1,62.0,6.72,6.6,4.0,8.318999999999999
0.5,58.6,61.0,5.16,5.21,3.04,6.891
2.0,64.1,55.0,7.94,7.88,5.07,9.792
0.9,64.2,59.0,6.07,6.11,3.91,8.359
0.33,61.5,56.0,4.46,4.45,2.74,7.016
1.01,65.4,56.0,6.18,6.23,4.06,8.7
1.09,61.2,62.0,6.63,6.58,4.04,8.388
1.21,62.6,54.2,6.79,6.81,4.26,8.571
0.32,62.0,57.0,4.37,4.4,2.72,6.33
0.59,62.3,54.0,5.38,5.41,3.36,7.504
1.03,61.7,57.0,6.45,6.48,3.99,9.269
0.72,61.7,56.0,5.73,5.77,3.55,8.241
0.3,62.4,56.0,4.28,4.31,2.68,6.787000000000001
0.31,63.1,56.0,4.33,4.35,2.74,6.704
0.55,63.1,56.0,5.19,5.23,3.29,7.651
0.37,62.0,56.0,4.59,4.6,2.85,7.117000000000001
0.7,61.2,55.0,5.68,5.72,3.49,7.805
0.32,61.3,57.0,4.44,4.46,2.73,6.569
1.51,62.0,57.0,7.3,7.38,4.55,9.122
0.54,61.1,55.0,5.27,5.31,3.23,7.138
0.41,62.9,58.0,4.75,4.7,2.97,6.922999999999999
0.32,61.9,56.0,4.38,4.41,2.72,5.968999999999999
0.31,61.6,55.0,4.37,4.4,2.7,6.39
0.43,61.8,55.0,4.85,4.89,3.01,6.574
2.29,56.8,66.0,8.79,8.69,4.96,9.458
0.35,60.5,57.0,4.55,4.58,2.76,6.56
1.16,62.5,55.0,6.75,6.69,4.2,8.995
0.3,63.6,57.0,4.23,4.26,2.7,6.405
0.4,61.9,58.0,4.71,4.73,2.92,6.444
0.74,63.1,57.0,5.8,5.76,3.65,7.87
0.5,62.3,57.0,5.04,5.07,3.15,7.521
0.42,62.4,57.0,4.83,4.79,3.0,6.851
1.3,61.1,58.0,6.98,7.02,4.28,8.724
0.7,62.0,57.0,5.66,5.7,3.52,7.84
0.7,60.8,56.0,5.77,5.71,3.49,7.837999999999999
1.21,61.5,58.0,6.85,6.9,4.23,8.559
